As of 6am,"6,200  24 hour","6,200  Cumulative","8,000  24 hour","8,000  Cumulative",,
"Monday, April 26, 2021",4,179,6,306,,
"Wednesday, April 14, 2021",2,175,3,300,,
"Tuesday, March 23, 2021",2,173,4,297,,
"Saturday, March 20, 2021",2,171,8,293,,
"Friday, March 19, 2021",2,169,6,285,,
"Tuesday, March 16, 2021",2,167,4,279,,
"Monday, March 15, 2021",6,165,8,275,,
"Friday, March 12, 2021",2,159,4,267,,
"Thursday, March 11, 2021",2,157,4,263,,
"Wednesday, March 10, 2021",6,155,10,259,,
"Tuesday, March 9, 2021",7,149,11,249,,
"Saturday, March 6, 2021",3,142,3,238,,
"Sunday, February 21, 2021",1,139,2,235,,
"Saturday, February 20, 2021",4,138,5,233,,
"Friday, February 19, 2021",0,134,1,228,,
"Tuesday, February 16, 2021",1,134,4,227,,
"Monday, February 15, 2021",0,133,2,223,,
"Sunday, February 14, 2021",3,133,4,221,,
"Saturday, February 13, 2021",4,130,6,217,,
"Friday, February 12, 2021",6,126,14,211,,
"Tuesday, February 9, 2021",1,120,1,197,,
"Wednesday, February 3, 2021",8,119,12,196,,
"Saturday, January 30, 2021",2,111,3,184,,
"Friday, January 29, 2021",15,109,21,181,,
"Thursday, January 28, 2021",20,94,28,160,,
"Wednesday, January 27, 2021",8,74,14,132,,
"Tuesday, January 26, 2021",3,66,3,118,,
"Monday, January 25, 2021",6,63,8,115,,
"Saturday, January 23, 2021",3,57,4,107,,
"Saturday, January 9, 2021",0,54,1,103,,
"Tuesday, January 5, 2021",2,54,12,102,,
"Monday, January 4, 2021",0,52,3,90,,
"Sunday, January 3, 2021",1,52,2,87,,
"Thursday, December 31, 2020",3,51,4,85,,
"Tuesday, December 29, 2020",0,48,1,81,,
"Monday, December, 28, 2020",1,48,1,80,,
"Sunday, December 27, 2020",3,47,5,79,,
"Saturday, December 26, 2020",9,44,12,74,,
"Friday, December 18, 2020",3,35,3,62,,
"Thursday, December 17, 2020",3,32,3,59,,
"Monday, December 14, 2020",10,29,13,56,,
"Saturday, December 12, 2020",1,19,3,43,,
"Monday, November 23, 2020",0,18,1,40,,
"Thursday, November 19, 2020",2,18,7,39,,
"Wednesday, November 18, 2020",7,16,16,32,,
"Saturday, November 14, 2020",4,9,9,16,,
"Sunday, November 8, 2020",5,5,5,7,,
"Saturday, November 7, 2020",0,0,2,2,,
