DATE,VILLAGE24,VILLAGETOTAL,ALPINE24,ALPINETOTAL,SUMMIT24,SUMMITTOTAL
2022-10-22,0,0,1,1,1,1
2022-11-02,6,6,8,8,8,8
2022-11-03,2,8,4,13,5,14
2022-11-07,3,11,7,19,8,22
2022-11-08,3,14,5,24,8,30
2022-11-09,13,27,15,40,18,48
2022-11-13,0,27,2,42,3,51
2022-12-01,0,27,1,43,1,52
2022-12-02,13,40,17,60,20,72
2022-12-03,0,40,0,60,1,73
2022-12-04,1,41,4,64,14,87
2022-12-05,3,44,5,69,7,94
2022-12-06,5,49,9,78,11,105
2022-12-09,4,53,7,85,6,111
2022-12-10,0,53,1,86,1,112
2022-12-11,24,77,36,105,35,147
2022-12-12,11,88,15,120,16,163
2022-12-27,0,88,1,121,5,168
2022-12-28,2,90,8,129,13,181
2022-12-29,1,91,1,130,4,185
2022-12-30,0,91,3,133,7,192
2022-12-31,0,91,0,133,5,197
2023-01-01,32,123,35,168,35,232
2023-01-03,1,124,3,171,4,236
2023-01-05,0,124,3,174,6,242
2023-01-06,9,133,15,189,13,255
2023-01-08,1,134,2,191,5,260
2023-01-09,1,135,4,195,8,268
2023-01-10,1,136,4,199,12,280
2023-01-11,17,153,21,220,20,300
2023-01-12,2,155,2,222,6,306
2023-01-14,10,165,20,242,14,320
2023-01-15,19,184,25,267,21,341
2023-01-16,4,188,7,274,9,350
2023-01-17,3,191,10,284,7,357
2023-01-19,7,198,10,294,9,366
2023-01-30,3,201,5,299,3,369
2023-02-04,0,201,0,299,1,370
2023-02-05,3,204,6,305,10,380
2023-02-06,8,212,13,318,8,388
2023-02-11,1,213,2,320,3,391
2023-02-12,1,214,1,321,1,392
2023-02-15,0,214,0,321,1,393
2023-02-22,1,215,1,322,2,395
2023-02-23,16,231,18,340,18,413
2023-02-24,11,242,14,354,20,433
2023-02-25,8,250,10,364,12,445
2023-02-26,0,250,1,365,2,447
2023-02-27,11,261,14,379,16,463
2023-02-28,20,281,22,401,38,501
2023-03-01,25,306,29,430,38,539
2023-03-05,12,318,14,444,15,554
2023-03-06,16,334,18,462,21,575
2023-03-07,10,344,13,475,16,591
2023-03-08,4,348,7,482,6,597
2023-03-09,6,354,8,490,10,607
2023-03-10,1,355,8,498,7,614
2023-03-11,3,358,7,505,8,622
2023-03-12,6,364,10,515,16,638
2023-03-13,2,366,12,527,10,648
2023-03-14,4,370,7,534,7,655
2023-03-15,1,371,1,535,7,662
2023-03-20,1,372,8,543,8,670
2023-03-22,0,372,2,545,1,671
2023-03-23,0,372,1,546,2,673
2023-03-24,3,375,5,551,5,678
2023-03-29,8,383,14,565,14,692
2023-04-03,2,385,3,568,6,698
2023-04-05,0,384,1,569,2,700
2023-04-18,5,390,7,576,10,710
2023-05-02,1,391,2,578,1,711
2023-05-03,1,392,1,579,2,713
2023-05-05,1,393,2,581,1,714
