"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT05","WT06","WT08","WT09"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-19","1.34","0.18","2.3","2.0","20","22","18",,"   30","   50","6.0","6.0","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-20","0.22","0.02","0.2","2.0","18","23","6",,"   60","   80","4.9","6.0","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-21","2.46","0.00","0.0","2.0","24","27","23",,"   50","   50","12.1","13.0","    1",,,,"    1",,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-22","4.70","0.00","0.0","2.0","22","27","1",,"   50","   60","13.0","15.0",,,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-23","1.57","0.00","0.0","2.0","8","21","-1",,"   50","   40","6.0","6.9",,,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-24","0.89","0.00","0.0","2.0","17","27","8",,"   40","   50","6.9","6.9",,,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-25","2.01","0.00","0.0","2.0","24","38","21",,"   70","   80","19.9","25.9","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-26","7.61","0.37","4.0","3.9","31","36","24",,"   50","   60","17.0","21.9","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-27","2.91","0.01","0.5","5.1","27","30","26",,"  290","  290","13.0","17.0","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-28","2.01","0.00","0.0","5.1","22","28","4",,"  250","  260","8.9","13.0","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-29","2.91","0.00","0.5","5.1","18","19","13",,"  360","  350","8.1","8.9","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-30","2.68","0.00","0.3","5.1","13","14","10",,"  280","  280","8.1","10.1","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-10-31","1.57","0.04","1.0","5.9","8","11","0",,"  120","  190","6.0","6.9","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-01","0.89","0.00","0.0","5.9","-2","2","-18",,"   40","   40","8.1","8.1","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-02","2.01","0.00","0.0","5.9","-12","-7","-23",,"   40","   40","6.9","8.1","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-03","0.89","0.00","0.0","5.1","-19","-12","-25",,"   50",,"6.0",,"    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-04","0.45","0.00","0.0","5.1","-23","-14","-29",,"   40","   50","6.0","6.0","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-05","2.01","0.14","3.2","7.9","-13","11","-21",,"  350","   10","6.9","8.9","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-06","2.01","0.79","11.8","18.9","12","34","11",,"  210","  220","8.9","13.0","    1","    1",,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-07","3.36","0.04","2.5","18.1","28","34","14",,"  210","  200","10.1","16.1","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-08","7.38","0.18","1.9","16.9","26","35","22",,"  340","  290","14.1","17.0","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-09","8.05","0.01","0.4","18.1","29","29","10",,"  260","  260","21.0","28.0","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-10","2.68","0.10","1.5","18.1","23","26","9",,"   40","   50","8.1","8.9","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-11","2.01","0.00","0.0","16.9","17","25","7",,"   60","  190","8.1","8.9",,,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-12","0.22","0.00","0.0","16.9","11","14","-3",,"   30","   30","6.0","6.0","    1","    1",,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-13","1.12","0.03","1.0","18.1","11","17","11",,"   50","   60","6.0","6.0","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-14","1.12","0.01","0.0","16.9","16","17","6",,"   30","   10","6.0","6.9","    1",,,,"    1",,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-15","2.24","0.00","1.0","18.1","8","12","-18",,"  190","  190","6.9","8.1","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-16","0.22","0.00","0.0","18.1","-9","-4","-22",,"   40","   50","6.0","6.0",,,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-17","0.45","0.00","0.0","16.9","-13","-8","-19",,"   60","   60","6.0","6.0",,,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-18","1.57","0.00","0.0","16.1","-15","-7","-20",,"   50","   70","6.9","8.1",,,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-19","0.45","0.00","0.0","16.1","-15","-10","-21",,"   30","   60","4.9","4.9","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-20","1.57","0.00","0.0","15.0","-17","-9","-22",,"   60","   50","6.9","6.9",,,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-21","0.89","0.00","0.0","15.0","-14","3","-18",,"   40","   40","6.9","6.9",,,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-22","0.45","0.05","0.7","15.0","0","10","-12",,"   40","   40","8.1","8.9","    1",,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-23","2.46","0.00","0.0","15.0","-8","7","-14",,"  190","  200","8.1","12.1",,,,,,,
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","64.8039","-147.8761","131.7","2020-11-24","2.24","0.00","0.3","15.0","0","10","-9",,"   40","   40","10.1","13.0","    1",,,,,,
