"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WSFI"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-19","5.82","0.00","0.0","55","65","50","51","0.0","16.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-20","2.91","0.00","0.0","54","66","47","50","0.0","15.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-21","9.40","0.00","0.0","54","60","49","49","0.0","20.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-22","2.91","0.00","0.0","47","56","36","37","0.0","13.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-23","7.38","0.00","0.0","47","56","36","46","0.0","20.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-24","9.17","0.00","0.0","46","53","41","41","0.0","23.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-25","7.83","0.00","0.0","33","42","20","20","0.0","26.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-26","6.26","0.10","0.0","29","39","20","33","0.0","27.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-27","5.37","0.00","0.0","41","51","31","43","0.0","23.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-28","1.79","0.00","0.0","50","60","42","46","0.0","9.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-29","2.24","0.00","0.0","51","60","45","47","0.0","10.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-30","6.49","0.00","0.0","53","60","47","51","0.0","19.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-10-31","3.13","0.00","0.0","53","63","46","50","0.0","13.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-01","3.36","0.00","0.0","54","65","49","51","0.0","14.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-02","4.47","0.00","0.0","54","64","48","51","0.0","19.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-03","7.61","0.00","0.0","51","57","48","49","0.0","19.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-04","3.36","0.00","0.0","51","60","44","50","0.0","14.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-05","4.25","0.00","0.0","52","64","46","46","0.0","26.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-06","8.50","0.00","0.0","31","46","21","22","0.0","45.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-07","9.62","0.10","1.0","23","26","19","24","0.1","30.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-08","5.82","0.40","6.0","18","24","14","15","0.7","29.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-09","3.36","0.00","6.0","22","29","13","30","0.7","13.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-10","6.71","0.00","5.0","32","42","24","30","0.8","25.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-11","8.95","0.00","5.0","32","37","29","30","0.8","20.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-12","7.83","0.10","3.0","35","42","30","31","0.9","34.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-13","16.11","2.00","6.0","30","33","27","30","2.5","55.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-14","11.41","0.10","6.0","34","40","26","34","2.5","32.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-15","10.29","0.00","6.0","39","43","34","42","2.5","40.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-16","7.61","0.00","6.0","50","57","42","48","2.5","35.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-17","16.55","0.00","6.0","39","48","31","31","2.5","48.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-18","14.54","2.40","20.0","31","34","27","27","5.0","46.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-19","5.14","0.00","20.0","30","42","26","27","5.0","30.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-20","0.89","0.00","20.0","34","48","27","36","5.0","5.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-21","1.79","0.00","19.0","38","49","32","34","5.0","6.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-22","7.16","0.00","17.0","38","45","29","31","5.0","33.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-23","4.92","0.00","18.0","31","42","26","27","5.0","21.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-24","4.25","0.00","18.0","37","51","26","33","5.0","28.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-25","8.95","0.00","17.0","28","33","20","20","5.0","37.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-26","7.16","0.00","17.0","23","29","18","26","5.0","30.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-27","2.46","0.10","17.0","35","45","26","38","5.1","14.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-28","3.58","0.00","17.0","39","53","34","35","5.1","13.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-29","2.46","0.00","16.0","39","51","31","38","5.1","17.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-11-30","8.28","0.00","16.0","39","45","35","42","5.1","26.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-01","1.79","0.00","17.0","40","52","32","38","5.1","6.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-02","1.79","0.00","16.0","41","55","36","39","5.1","8.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-03","5.14","0.00","16.0","42","49","36","39","5.1","16.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-04","2.24","0.00","16.0","39","49","33","35","5.0","5.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-05","7.16","0.00","16.0","40","46","33","36","5.0","32.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-06","6.71","0.00","16.0","35","46","25","28","5.0","30.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-07","5.59","0.00","15.0","32","39","24","35","5.0","27.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-08","2.46","0.00","15.0","43","53","34","47","5.0","13.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-09","7.16","0.00","16.0","40","47","30","31","4.9","21.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-10","8.28","0.00","16.0","32","40","27","28","4.9","33.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-11","13.65","0.30","14.0","29","35","24","31","5.1","37.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-12","4.25","0.00","17.0","31","41","25","35","5.1","19.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-13","11.41","1.40","29.0","30","36","23","24","7.6","46.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-14","3.13","0.00","27.0","24","31","21","23","7.6","22.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-15","6.71","0.20","27.0","34","41","22","37","7.9","24.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-16","6.93","0.00","27.0","36","43","31","34","7.9","32.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","2020-12-17","6.71","0.60","33.0","27","35","19","20","8.6","39.8"
