"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WSFI"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-01","2.46","0.00",,"0.0","62","70","54","59","0.0","15.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-02","2.46","0.00",,"0.0","63","71","56","59","0.0","11.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-03","3.58","0.00",,"0.0","62","70","55","58","0.0","13.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-04","5.59","0.00",,"0.0","58","66","51","55","0.0","27.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-05","6.71","0.00",,"0.0","58","67","53","55","0.0","24.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-06","3.80","0.00",,"0.0","58","68","52","57","0.0","16.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-07","6.93","0.00",,"0.0","58","67","52","54","0.0","19.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-08","6.04","0.00",,"0.0","54","57","49","51","0.0","19.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-09","6.04","0.00",,"0.0","51","63","46","46","0.0","20.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-10","12.53","0.10",,"0.0","44","48","40","40","0.0","48.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-11","5.59","0.00",,"0.0","49","60","40","50","0.0","24.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-12","7.38","0.00",,"0.0","54","62","49","53","0.0","16.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-13","7.61","0.00",,"0.0","55","63","51","51","0.0","19.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-14","2.24","0.00",,"0.0","57","68","49","50","0.0","10.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-15","2.68","0.00",,"0.0","53","61","46","46","0.0","13.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-16","2.01","0.00",,"0.0","52","64","42","50","0.0","10.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-17","6.49","0.00",,"0.0","59","66","50","54","0.0","19.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-18","7.83","0.00",,"0.0","55","62","48","51","0.0","19.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-19","5.82","0.00",,"0.0","55","65","50","51","0.0","16.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-20","2.91","0.00",,"0.0","54","66","47","50","0.0","15.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-21","9.40","0.00",,"0.0","54","60","49","49","0.0","20.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-22","2.91","0.00",,"0.0","47","56","36","37","0.0","13.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-10-23","7.38","0.00",,"0.0","47","56","36","46","0.0","20.1"
