"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WSFI"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-04",,,,,,,"58",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-05",,,,,,,"50",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-06",,,,,,,"53",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-07",,,,,,,"52",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-10",,,,,,,"59",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-11",,,,,,,"57",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-12",,,,,,,"55",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-13",,,,,,,"50",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-14",,,,,,,"41",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-15",,,,,,,"41",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-16",,,,,,,"47",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-17",,,,,,,"45",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-18",,,,,,,"38",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-19",,,,,,,"45",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-20",,,,,,,"49",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-21",,,,,,,"46",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-22",,,,,,,"40",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-24",,,,,,,"45",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-25",,,,,,,"44",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-26",,,,,,,"45",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-27",,,,,,,"45",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-28",,,,,,,"43",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-29",,,,,,,"37",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-30",,,,,,,"36",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-08-31",,,,,,,"42",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-01",,,,,,,"47",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-02",,,,,,,"49",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-03",,,,,,,"52",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-04",,,,,,,"53",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-05",,,,,,,"51",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-06",,,,,,,"47",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-07",,,,,,,"38",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-08",,,,,,,"40",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-09",,,,,,,"44",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-10",,,,,,,"41",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-11",,,,,,,"46",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-12",,,,,,,"39",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-13",,,,,,,"32",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-14",,,,,,,"37",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-15",,,,,,,"46",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-16",,,,,,,"52",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-17",,,,,,,"42",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-18",,,,,,,"35",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-19",,,,,,,"38",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-20",,,,,,,"29",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-21",,,,,,,"35",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-22",,,,,,,"39",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-23",,,,,,,"44",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-24",,,,,,,"47",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-25",,,,,,,"53",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-26",,,,,,,"50",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-27",,,,,,,"46",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-28",,,,,,,"46",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-29",,,,,,,"54",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-30",,,,,,,"53","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-01",,"0.00",,,,,"51","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-02",,"0.00",,,,,"54","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-03",,"0.00",,,,,"51","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-04",,"0.00",,,,,"52","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-05",,"0.00",,,,,"51","0.0",
