"STATION","NAME","DATE","AWND","PRCP","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WSFI"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-01","8.95","0.10","43.0","36","45","28","28","16.6","30.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-02","2.24","0.00","42.0","34","43","27","36","16.6","15.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-03","5.14","0.00","41.0","41","53","33","35","16.6","41.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-04","8.28","0.00","42.0","32","38","27","30","16.6","29.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-05","6.49","0.00","42.0","27","31","23","28","16.6","23.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-06","2.24","0.00","42.0","36","49","27","37","16.6","7.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-07","7.16","0.00","42.0","35","42","21","23","16.5","33.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-08","12.08","0.00","41.0","23","26","21","22","16.4","29.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-09","5.59","0.30","43.0","22","30","17","29","16.4","28.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-10","8.95","0.00","40.0","32","41","23","23","16.4","46.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-11","12.30","0.00","41.0","23","27","20","23","16.2","43.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-12","15.21","0.00","40.0","22","25","20","22","16.2","42.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-13","11.86","0.60","41.0","24","27","22","26","16.2","45.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-14","13.42","0.00","41.0","22","27","18","21","16.2","52.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-15","9.84","0.00","41.0","27","33","20","29","16.2","39.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-16","18.34","1.70","50.0","24","29","18","18","17.5","53.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-17","8.05","0.00","48.0","24","34","16","34","17.5","41.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-18","3.80","0.10","48.0","36","47","31","36","17.5","17.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-19","3.80","0.10","46.0","39","47","32","39","17.6","22.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-20","8.50","0.00","46.0","35","40","28","28","17.6","27.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-21","13.20","0.00","44.0","29","32","27","31","17.6","46.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-22","9.17","0.30","43.0","33","41","30","37","17.9","38.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-23","3.80","0.30","41.0","38","46","35","35","18.2","25.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-24","11.41","0.00","42.0","33","36","31","34","18.2","34.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-25","5.82","0.00","41.0","38","46","32","36","18.2","22.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-26","12.08","0.80","48.0","31","36","27","28","19.0","40.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-27","10.07","0.00","47.0","30","33","27","30","19.0","23.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-28","12.30","0.00","47.0","29","32","24","27","19.0","34.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-29","3.13","0.00","46.0","31","41","22","38","19.0","12.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-30","3.36","0.00","45.0","37","46","32","34","19.0","20.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-01-31","3.80","0.00","43.0","46","57","34","47","19.0","14.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-01","6.26","0.00","42.0","48","55","41","41","19.0","30.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-02","11.41","0.00","44.0","26","41","12","12","19.0","36.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-03","7.38","0.00","42.0","12","18","7","12","19.0","27.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-04","4.70","0.00","42.0","18","26","10","26","19.0","26.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-05","4.47","0.00","42.0","33","43","25","31","19.0","21.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-06","2.01","0.00","42.0","38","47","30","37","19.0","16.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-07","5.59","0.00","41.0","41","51","34","38","18.9","21.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-08","13.42","0.00","41.0","34","39","18","18","18.9","31.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-09","10.96","0.00","41.0","20","26","16","20","18.8","36.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-10","5.59","0.00","41.0","28","38","19","28","18.8","19.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-11","3.80","0.00","40.0","33","43","24","33","18.8","17.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-12","2.24","0.00","41.0","35","43","28","30","18.6","11.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-13","7.16","0.00","40.0","36","42","29","33","18.4","22.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-14","8.05","0.00","40.0","35","41","31","35","18.3","25.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-15","14.09","0.00","40.0","35","40","33","35","18.2","28.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-16","10.51","0.00","40.0","35","40","30","30","18.0","36.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-17","2.01","0.00","40.0","32","44","25","26","17.8","12.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-18","5.82","0.00","39.0","34","40","26","31","17.8","19.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-19","1.79","0.00","40.0","31","42","26","28","17.7","7.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-20","3.36","0.00","39.0","34","44","26","33","17.7","23.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-21","2.91","0.00","40.0","37","47","30","34","17.6","13.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-22","2.24","0.00","39.0","36","47","30","35","17.6","12.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-23","8.95","0.00","39.0","37","40","34","35","17.5","24.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-24","2.91","0.00","39.0","36","46","31","32","17.5","14.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-25","3.80","0.00","39.0","37","46","29","38","17.4","14.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-26","7.83","0.00","38.0","42","47","37","39","17.1","18.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-27","3.36","0.00","37.0","43","54","37","40","16.6","11.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-28","6.26","0.00","36.0","41","47","36","36","16.4","30.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-02-29","11.63","0.00","36.0","33","38","24","24","16.1","43.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-01","5.37","0.70","44.0","19","24","16","16","16.8","26.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-02","7.61","0.00","41.0","25","33","16","31","16.8","28.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-03","2.46","0.00","40.0","38","50","30","37","16.7","17.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-04","4.25","0.00","36.0","44","56","36","44","16.5","15.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-05","7.16","0.00","35.0","43","49","39","40","16.3","31.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-06","12.97","0.00","34.0","40","46","35","36","16.0","40.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-07","9.40","0.40","38.0","28","36","25","25","16.4","39.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-08","6.26","0.10","37.0","27","33","25","27","16.5","21.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-09","4.25","0.00","37.0","31","41","26","32","16.5","21.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-10","2.68","0.00","37.0","35","43","28","33","16.5","18.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-11","2.24","0.00","35.0","39","50","31","39","16.5","9.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-12","4.25","0.00","34.0","39","46","34","35","16.5","19.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-13","9.84","0.10","34.0","35","41","28","28","16.6","44.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-14","10.74","2.40","55.0","25","29","23","24","19.3","42.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-15","10.29","0.70","62.0","24","26","21","25","20.2","46.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-16","7.16","1.40","77.0","25","32","20","20","21.6","37.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-17","10.74","0.60","75.0","19","23","16","19","22.7","30.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-18","7.61","0.40","77.0","21","26","18","19","23.4","33.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-19","1.57","0.00","73.0","24","37","17","23","23.5","7.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-20","2.01","0.00","70.0","27","36","19","27","23.8","13.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-21","2.46","0.00","68.0","31","44","25","26","24.3","11.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-22","3.58","0.10","66.0","31","43","25","28","24.4","16.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-23","12.08","0.30","63.0","29","33","27","27","24.7","52.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-24","10.74","0.90","71.0","25","27","22","22","25.8","43.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-25","8.72","0.40","71.0","19","25","13","15","26.2","31.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-26","2.24","0.10","69.0","20","32","13","17","26.3","14.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-27","8.50","0.10","68.0","23","29","17","24","26.4","24.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-28","7.16","0.00","69.0","26","33","23","26","26.4","26.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-29","9.62","0.10","70.0","27","32","25","27","26.5","21.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-30","11.41","0.00","67.0","29","32","26","31","26.5","38.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-03-31","13.87","0.00","66.0","33","36","30","32","26.3","42.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-01","13.87","0.00","66.0","29","33","19","19","26.1","42.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-02","6.26","0.00","65.0","26","40","15","26","26.0","20.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-03","11.63","0.00","64.0","30","36","25","31","26.0","27.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-04","7.61","1.10","70.0","29","32","28","29","27.9","41.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-05","10.96","1.00","77.0","27","30","22","22","29.7","48.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-06","3.80","0.50","78.0","28","38","21","28","30.5","18.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-07","2.91","0.20","72.0","33","43","27","35","30.9","20.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-08","7.16","0.10","68.0","40","47","33","41","31.0","35.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-09","5.14","0.00","66.0","36","42","32","32","31.0","23.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-10","2.46","0.00","64.0","38","50","27","38","30.9","13.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-11","5.82","0.00","62.0","43","50","36","38","30.7","18.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-12","3.58","0.00","60.0","39","53","34","35","30.4","14.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-13","3.80","0.00","59.0","35","43","29","29","30.0","16.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-14","3.58","0.00","58.0","38","51","26","41","29.6","16.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-15","7.61","0.00","57.0","43","49","36","38","29.0","21.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-16","2.01","0.00","56.0","40","51","31","35","28.3","10.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-17","2.24","0.20","55.0","36","46","30","33","27.8","15.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-18","8.50","0.00","54.0","36","45","32","33","27.5","21.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-19","6.26","0.00","54.0","35","42","31","32","27.1","22.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-20","5.59","0.00","53.0","35","41","30","33","26.5","20.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-21","4.70","0.20","51.0","41","57","32","44","25.7","18.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-22","7.61","0.00","49.0","44","49","39","40","24.8","25.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-23","7.16","0.00","47.0","45","51","39","42","23.6","22.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-24","5.14","0.20","45.0","49","57","41","45","22.5","19.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-25","7.16","0.00","43.0","48","56","42","45","21.3","20.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-26","6.26","0.00","41.0","47","54","40","44","20.2","27.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2020-04-27","8.50","0.20","39.0","48","55","42","47","19.0","19.7"
