"STATION","NAME","DATE","AWND","PRCP","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WSFI"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-01","7.61","0.10","36.0","33","48","23","28","10.7","37.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-02","7.83","0.10","34.0","31","33","27","29","10.8","33.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-03","6.71","0.10","34.0","31","35","28","34","10.9","21.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-04","13.42","1.40","33.0","30","34","24","26","11.0","60.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-05","6.71","0.00","33.0","32","39","25","33","11.0","21.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-06","9.40","0.10","32.0","35","40","30","33","11.0","40.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-07","3.13","0.00","33.0","35","47","28","36","11.0","26.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-08","9.62","0.00","33.0","31","38","21","30","11.0","34.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-09","2.68","0.00","32.0","34","44","22","39","11.0","13.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-10","7.38","0.00","33.0","35","41","30","35","11.0","23.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-11","4.25","0.20","32.0","41","50","35","37","11.0","19.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-12","10.51","0.00","31.0","37","41","32","40","11.0","34.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-13","7.16","0.00","31.0","39","45","36","40","10.9","29.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-14","1.79","0.00","30.0","45","54","37","46","10.8","8.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-15","6.49","0.00","30.0","48","55","39","42","10.7","21.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-16","1.79","0.00","30.0","41","51","36","36","10.6","6.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-17","2.24","0.00","29.0","41","54","32","32","10.5","11.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-18","6.71","0.00","28.0","32","41","20","20","10.5","31.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-19","8.50","0.00","29.0","22","27","17","25","10.5","35.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-20","3.80","0.00","29.0","33","43","23","34","10.5","12.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-21","7.38","0.00","29.0","34","40","29","30","10.5","29.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-22","8.28","0.10","26.0","24","30","21","21","10.6","31.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-23","5.14","0.00","31.0","22","26","19","21","10.6","17.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-24","8.72","0.40","37.0","22","25","19","20","11.1","32.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-25","4.25","0.00","37.0","17","23","13","13","11.1","22.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-26","10.29","0.40","42.0","16","26","8","25","11.5","45.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-27","17.45","1.60","68.0","25","28","22","27","13.4","53.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-28","12.08","2.40","62.0","26","27","23","24","15.9","41.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-29","7.16","0.50","61.0","22","27","18","19","16.6","29.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-30","7.16","0.00","60.0","28","39","19","31","16.6","34.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-01-31","7.83","0.00","56.0","33","40","27","35","16.6","28.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-01","11.41","0.00","54.0","35","39","31","32","16.6","39.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-02","11.41","0.20","65.0","29","33","26","26","16.8","39.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-03","13.42","0.10","56.0","22","27","19","20","16.9","60.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-04","3.36","0.00","56.0","27","40","17","30","16.9","13.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-05","2.91","0.00","55.0","38","49","30","36","16.9","20.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-06","4.03","0.00","54.0","42","53","31","40","16.9","16.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-07","4.70","0.00","54.0","40","52","34","38","16.9","19.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-08","8.95","0.10","52.0","37","43","33","32","17.0","28.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-09","10.74","0.00","51.0","31","33","29","32","17.0","31.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-10","5.59","0.00","50.0","34","40","31","33","17.1","15.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-11","10.96","1.30","62.0","32","37","29","29","18.9","42.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-12","10.29","0.20","58.0","30","37","24","28","19.1","27.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-13","11.86","1.30","64.0","26","29","22","22","20.6","44.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-14","6.71","0.10","62.0","26","30","19","30","20.7","25.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-15","12.97","0.20","60.0","31","35","26","26","20.8","43.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-16","5.14","0.00","61.0","25","33","18","21","20.8","25.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-17","5.14","0.00","61.0","21","28","15","20","20.8","19.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-18","9.84","0.00","60.0","31","39","19","25","20.8","40.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-19","11.41","0.20","59.0","30","34","24","24","20.9","44.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-20","6.71","0.00","60.0","23","31","18","20","20.9","46.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-21","2.91","0.00","59.0","28","39","18","29","20.9","14.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-22","2.68","0.00","58.0","38","54","28","37","20.9","14.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2021-02-23","4.25","0.00","57.0","36","45","28","28","20.8","22.4"
